iter	RMSE
0	1524.222807
1	1507.113982
2	1490.480575
3	1474.512044
4	1459.089091
5	1445.076763
6	1429.069614
7	1414.749993
8	1401.07266
9	1387.70442
10	1376.478842
11	1364.674669
12	1353.611927
13	1342.675919
14	1331.305554
15	1321.287974
16	1310.74963
17	1301.515813
18	1293.462878
19	1285.314617
20	1276.264691
21	1267.947609
22	1260.411415
23	1253.159961
24	1246.638609
25	1239.260265
26	1233.178234
27	1227.096936
28	1220.959425
29	1214.798467
30	1209.514725
31	1203.799129
32	1199.470373
33	1193.678105
34	1189.032004
35	1184.993918
36	1180.122293
37	1175.605058
38	1171.178334
39	1167.017284
40	1162.501375
41	1158.551941
42	1154.912323
43	1151.462226
44	1147.866542
45	1144.445928
46	1141.777613
47	1138.184592
48	1134.677579
49	1131.461796
50	1128.49422
51	1125.60181
52	1122.621649
53	1120.267059
54	1117.3152
55	1114.929967
56	1112.866893
57	1110.137594
58	1107.993303
59	1105.995047
60	1103.965361
61	1101.916738
62	1099.564215
63	1097.848991
64	1095.22001
65	1093.367961
66	1091.630066
67	1089.550755
68	1087.578939
69	1085.27711
70	1083.593007
71	1081.855102
72	1080.180149
73	1078.183952
74	1076.730326
75	1075.021179
76	1073.879222
77	1072.633734
78	1070.798379
79	1069.055859
80	1067.349167
81	1066.096384
82	1064.023114
83	1062.701622
84	1061.644224
85	1059.911625
86	1057.968838
87	1056.532344
88	1055.492973
89	1053.645588
90	1052.559172
91	1051.560794
92	1050.166108
93	1048.689356
94	1047.688235
95	1046.928295
96	1045.842824
97	1044.638199
98	1043.366402
99	1042.686564
100	1041.437509
101	1040.245701
102	1038.765284
103	1037.59787
104	1036.514326
105	1036.020273
106	1034.866157
107	1033.986666
108	1033.37404
109	1032.277202
110	1031.598394
111	1030.384437
112	1029.322753
113	1028.34257
114	1027.740468
115	1026.731494
116	1025.711466
117	1024.632018
118	1021.974344
119	1020.926686
120	1019.60473
121	1018.99459
122	1018.279191
123	1017.426489
124	1017.021025
125	1016.670144
126	1015.919196
127	1015.327615
128	1015.019174
129	1014.186178
130	1013.418621
131	1012.876517
132	1012.155615
133	1011.755789
134	1011.080419
135	1010.961695
136	1010.508739
137	1009.979367
138	1009.379274
139	1008.666241
140	1008.00965
141	1007.128415
142	1006.876442
143	1006.557292
144	1006.028249
145	1005.617054
146	1005.336259
147	1005.058232
148	1004.207569
149	1003.782581
150	1003.356682
151	1002.276461
152	1001.653747
153	1001.330339
154	1001.084724
155	1000.818097
156	1000.297212
157	999.8719959
158	999.4463227
159	997.6951272
160	997.0672849
161	996.1304303
162	995.0231331
163	994.1099447
164	993.6568924
165	993.1329756
166	992.5253309
167	992.126914
168	991.8873328
169	991.3864102
170	991.0558518
171	990.80202
172	990.0288985
173	989.7960084
174	989.255062
175	988.6659128
176	988.3981455
177	987.8840358
178	987.6197581
179	986.368632
180	986.2088867
181	985.3875328
182	985.0348547
183	984.7833374
184	984.4922552
185	984.2683591
186	983.5591821
187	983.3617188
188	983.0884066
189	982.6896392
190	982.4367474
191	982.3212768
192	981.4375906
193	981.1321976
194	980.7821921
195	980.6857063
196	980.5607331
197	979.9583556
198	979.786486
199	979.1949951
200	977.7837272
201	977.7076015
202	976.0342801
203	975.8352207
204	975.634867
205	974.9543718
206	974.3016055
207	973.9065499
208	973.712644
209	973.3574723
210	973.1073617
211	972.7547188
212	972.5366293
213	971.9610592
214	971.4957106
215	971.1754572
216	970.4336188
217	970.2423295
218	969.9018215
219	969.7427739
220	969.6471314
221	968.8978968
222	968.3002717
223	968.09204
224	967.7889071
225	967.5836369
226	967.4948283
227	966.7473296
228	966.285514
229	965.5535231
230	965.1986854
231	964.8647396
232	964.4661564
233	963.5287539
234	963.2983081
235	962.7922673
236	962.5044791
237	962.428177
238	962.2212906
239	961.7669813
240	961.4117239
241	961.1386998
242	961.04319
243	960.9225411
244	960.4146598
245	960.334413
246	960.1090671
247	959.7056963
248	958.829718
249	958.7836616
250	958.66804
251	958.4371006
252	958.0974034
253	957.8640237
254	957.4747547
255	957.0312357
256	956.7537742
257	956.2329945
258	955.5651641
259	954.6048097
260	954.5274463
261	954.2201596
262	953.8447799
263	953.6402424
264	953.5182382
265	953.1800066
266	952.9775591
267	952.8042277
268	952.5256878
269	952.3343496
270	952.2171648
271	951.9248051
272	951.5959015
273	951.4149243
274	951.3527804
275	951.0759942
276	950.9668511
277	950.7121043
278	950.4215961
279	949.962671
280	949.1887439
281	948.9146477
282	948.7505117
283	948.5204824
284	948.1730429
285	947.8159224
286	947.6654405
287	947.3800054
288	947.1081909
289	946.721921
290	946.5526444
291	946.3241787
292	946.143371
293	946.0408874
294	945.7526886
295	945.4784111
296	945.335269
297	945.150057
298	944.9583994
299	944.8269436
300	944.5861781
301	944.463714
302	944.3064163
303	944.1782257
304	944.0776135
305	943.8064401
306	943.6219243
307	943.4505983
308	943.3565275
309	943.1669064
310	943.005074
311	942.8477305
312	942.2933009
313	941.7163031
314	941.5128611
315	941.1473321
316	941.0952435
317	940.9096906
318	940.7447958
319	940.5263138
320	940.2355509
321	939.8701439
322	939.5811056
323	939.2532885
324	938.9477718
325	938.636216
326	938.4566746
327	938.3767684
328	938.1016866
329	937.8202402
330	937.6392871
331	937.0732828
332	936.9602913
333	936.7370152
334	936.72538
335	936.3958461
336	936.1972443
337	936.0433528
338	935.8621402
339	935.7513394
340	935.5254252
341	935.3949023
342	935.1194802
343	934.6317785
344	934.1127198
345	934.0780755
346	934.0316342
347	933.7718925
348	933.5095225
349	933.4078192
350	932.9374504
351	932.6925327
352	932.5431457
353	932.3730031
354	932.1501232
355	932.0635491
356	931.5998195
357	931.4494077
358	931.0965086
359	930.8420286
360	930.6207231
361	930.4787231
362	930.2757213
363	930.0323204
364	929.881749
365	929.7412197
366	929.448517
367	928.8987384
368	928.6395351
369	928.4477618
370	928.0494705
371	927.9711819
372	927.8467183
373	927.7661914
374	927.2437702
375	927.1697631
376	927.1013909
377	926.87409
378	926.6615404
379	926.550033
380	926.0530814
381	925.6236112
382	925.45564
383	924.9763437
384	924.9087496
385	924.8438936
386	924.3362135
387	923.9692981
388	923.6615731
389	923.2108552
390	922.9772439
391	922.7131166
392	922.3279222
393	921.8700223
394	921.1610881
395	920.9740948
396	920.5150327
397	920.334696
398	920.1160978
399	919.9095812
400	919.7183125
401	919.2821453
402	919.1745955
403	918.9237675
404	918.2870358
405	917.8384808
406	917.3665492
407	917.1186133
408	916.6772405
409	916.207466
410	915.9678665
411	915.4051149
412	914.9720766
413	914.5641621
414	914.3556043
415	913.8402919
416	913.54898
417	913.3636704
418	912.9248993
419	912.4689396
420	911.5107694
421	911.363266
422	911.0150862
423	910.9028914
424	910.5342831
425	909.607618
426	909.2082715
427	908.7715726
428	908.3113053
429	907.8652167
430	907.4805173
431	907.2946283
432	907.2291545
433	906.7999761
434	906.2882672
435	906.1930873
436	905.9981668
437	905.5877737
438	905.1596184
439	904.8584185
440	904.4526142
441	904.3649629
442	903.9799566
443	903.8959637
444	903.6484817
445	903.5867016
446	903.1722934
447	902.1862694
448	901.76929
449	901.3683717
450	900.9940253
451	900.9162004
452	900.6896078
453	900.6114805
454	900.5395743
455	900.4855749
456	900.0813242
457	900.0292468
458	899.9730273
459	899.5875096
460	899.284627
461	899.2222311
462	898.9441397
463	898.7020949
464	898.4788364
465	898.309401
466	897.3704513
467	896.881449
468	896.3369805
469	895.8488026
470	895.3351679
471	894.9684756
