iter	Passed	Remaining
0	1	1621
1	3	1579
2	4	1603
3	6	1637
4	8	1636
5	9	1628
6	11	1612
7	12	1600
8	14	1639
9	16	1639
10	18	1654
11	20	1647
12	21	1632
13	23	1636
14	25	1644
15	27	1679
16	29	1693
17	31	1713
18	33	1714
19	35	1715
20	36	1713
21	74	3307
22	77	3281
23	79	3232
24	83	3241
25	85	3187
26	86	3127
27	88	3073
28	90	3014
29	91	2961
30	93	2913
31	95	2886
32	98	2898
33	100	2864
34	102	2823
35	103	2782
36	105	2744
37	107	2710
38	109	2689
39	110	2658
40	115	2692
41	120	2753
42	122	2727
43	124	2702
44	128	2720
45	129	2694
46	131	2664
47	132	2633
48	134	2610
49	136	2587
50	137	2560
51	139	2539
52	140	2515
53	142	2490
54	143	2473
55	145	2452
56	146	2430
57	148	2409
58	149	2389
59	151	2368
60	152	2349
61	154	2333
62	155	2316
63	157	2297
64	158	2282
65	160	2267
66	161	2252
67	163	2237
68	164	2222
69	166	2209
70	167	2196
71	169	2187
72	171	2173
73	172	2162
74	174	2151
75	175	2139
76	177	2126
77	178	2114
78	180	2102
79	182	2095
80	183	2083
81	185	2071
82	186	2060
83	187	2048
84	189	2039
85	191	2032
86	192	2024
87	194	2015
88	196	2015
89	198	2007
90	200	1999
91	202	1999
92	204	1989
93	205	1980
94	207	1973
95	208	1964
96	210	1959
97	212	1952
98	213	1946
99	215	1942
100	217	1937
101	219	1936
102	222	1936
103	224	1935
104	226	1932
105	228	1929
106	230	1925
107	232	1919
108	233	1912
109	235	1907
110	237	1904
111	239	1900
112	241	1895
113	243	1889
114	244	1884
115	246	1877
116	248	1871
117	249	1865
118	251	1860
119	253	1855
120	254	1852
121	259	1867
122	261	1863
123	262	1856
124	264	1850
125	266	1845
126	268	1844
127	270	1841
128	272	1839
129	276	1851
130	279	1850
131	280	1846
132	282	1842
133	284	1838
134	286	1835
135	287	1828
136	289	1823
137	291	1820
138	293	1815
139	294	1811
140	296	1806
141	298	1801
142	299	1795
143	301	1791
144	303	1788
145	305	1785
146	306	1779
147	308	1774
148	309	1768
149	311	1763
150	312	1758
151	314	1754
152	316	1751
153	318	1747
154	320	1745
155	321	1741
156	324	1739
157	325	1735
158	327	1731
159	328	1727
160	331	1728
161	333	1726
162	335	1722
163	337	1718
164	338	1714
165	340	1708
166	341	1705
167	343	1700
168	345	1696
169	347	1694
170	348	1691
171	350	1687
172	352	1684
173	353	1679
174	355	1677
175	357	1675
176	360	1675
177	363	1677
178	365	1674
179	366	1670
180	368	1666
181	370	1663
182	371	1660
183	373	1656
184	374	1651
185	376	1648
186	378	1645
187	380	1641
188	381	1637
189	383	1632
190	384	1628
191	386	1625
192	388	1622
193	390	1620
194	391	1617
195	393	1613
196	395	1610
197	396	1607
198	398	1603
199	400	1600
200	401	1596
201	402	1591
202	404	1588
203	406	1584
204	407	1581
205	409	1578
206	411	1575
207	413	1572
208	415	1572
209	417	1570
210	420	1570
211	421	1567
212	423	1565
213	425	1563
214	427	1560
215	429	1558
216	431	1556
217	433	1553
218	435	1552
219	437	1550
220	439	1548
221	441	1546
222	443	1544
223	445	1542
224	447	1539
225	448	1536
226	450	1535
227	453	1534
228	455	1533
229	458	1534
230	461	1534
231	463	1533
232	464	1530
233	466	1527
234	468	1524
235	469	1520
236	471	1518
237	473	1515
238	475	1513
239	477	1510
240	478	1507
241	480	1504
242	482	1501
243	483	1498
244	485	1495
245	487	1493
246	488	1490
247	490	1488
248	492	1486
249	494	1483
250	496	1480
251	497	1477
252	499	1474
253	501	1471
254	502	1469
255	506	1471
256	508	1470
257	511	1470
258	513	1469
259	516	1468
260	518	1468
261	520	1467
262	522	1464
263	524	1462
264	526	1460
265	528	1459
266	530	1456
267	532	1453
268	533	1450
269	535	1448
270	537	1445
271	539	1443
272	540	1440
273	542	1437
274	544	1434
275	545	1431
276	548	1430
277	550	1429
278	552	1426
279	553	1424
280	555	1422
281	557	1420
282	560	1419
283	577	1456
284	579	1454
285	581	1452
286	583	1449
287	585	1447
288	587	1444
289	589	1442
290	591	1440
291	593	1438
292	595	1437
293	597	1434
294	599	1432
295	601	1430
296	603	1427
297	604	1425
298	606	1422
299	608	1419
300	610	1416
301	612	1416
302	614	1414
303	616	1411
304	618	1408
305	620	1407
306	622	1404
307	623	1401
308	625	1398
309	627	1396
310	629	1395
311	632	1394
312	634	1392
313	636	1389
314	637	1387
315	639	1385
316	641	1382
317	643	1379
318	645	1377
319	647	1374
320	648	1372
321	650	1369
322	652	1367
323	654	1365
324	655	1362
325	657	1359
326	660	1358
327	662	1357
328	664	1355
329	666	1352
330	668	1350
331	669	1347
332	671	1345
333	673	1342
334	675	1340
335	676	1337
336	678	1335
337	680	1332
338	682	1330
339	684	1327
340	686	1325
341	687	1323
342	689	1321
343	691	1318
344	693	1315
345	694	1312
346	695	1309
347	697	1307
348	699	1304
349	700	1301
350	702	1298
351	704	1296
352	705	1293
353	707	1291
354	709	1288
355	711	1286
356	713	1285
357	716	1284
358	718	1283
359	720	1280
360	722	1278
361	724	1276
362	725	1273
363	727	1271
364	729	1268
365	730	1265
366	732	1263
367	734	1260
368	736	1258
369	737	1256
370	739	1253
371	741	1251
372	743	1249
373	744	1246
374	746	1244
375	748	1241
376	749	1239
377	751	1237
378	753	1234
379	755	1232
380	757	1230
381	758	1227
382	761	1226
383	763	1224
384	764	1221
385	766	1219
386	768	1217
387	770	1215
388	772	1212
389	773	1210
390	775	1207
391	776	1204
392	778	1202
393	780	1199
394	782	1197
395	784	1196
396	786	1193
397	787	1191
398	789	1188
399	790	1185
400	792	1183
401	794	1181
402	795	1178
403	797	1177
404	799	1174
405	801	1172
406	803	1170
407	804	1167
408	806	1165
409	808	1163
410	810	1161
411	812	1159
412	814	1157
413	815	1154
414	817	1152
415	819	1149
416	820	1147
417	822	1144
418	823	1142
419	825	1140
420	827	1138
421	829	1136
422	832	1135
423	834	1132
424	835	1130
425	837	1128
426	839	1126
427	841	1124
428	842	1122
429	844	1119
430	846	1117
431	848	1115
432	850	1113
433	851	1111
434	853	1109
435	855	1106
436	857	1104
437	859	1102
438	860	1100
439	862	1097
440	864	1095
441	866	1093
442	867	1091
443	869	1089
444	871	1086
445	873	1084
446	874	1082
447	876	1080
448	878	1078
449	880	1076
450	883	1075
451	885	1074
452	887	1071
453	889	1069
454	890	1067
455	892	1064
456	894	1062
457	895	1060
458	897	1057
459	899	1055
460	900	1053
461	902	1050
462	904	1048
463	905	1046
464	907	1044
465	910	1042
466	911	1040
467	913	1038
468	915	1036
469	917	1034
470	918	1032
471	920	1030
472	922	1028
473	925	1026
474	926	1024
475	928	1022
